,Make,Price,Year,Kilometer,Fuel Type
0,Honda,505000,2017,87150,Petrol
1,Maruti Suzuki,450000,2014,75000,Diesel
2,Hyundai,220000,2011,67000,Petrol
3,Toyota,799000,2019,37500,Petrol
4,Toyota,1950000,2018,69000,Diesel
5,Maruti Suzuki,675000,2017,73315,Petrol
6,Mercedes-Benz,1898999,2015,47000,Petrol
7,BMW,2650000,2017,75000,Diesel
8,Skoda,1390000,2017,56000,Petrol
9,Nissan,575000,2015,85000,Diesel
10,Hyundai,591000,2017,20281,Petrol
11,Renault,459999,2018,22541,Petrol
12,Maruti Suzuki,1075000,2019,30672,Petrol
13,Tata,1695000,2019,20856,Diesel
14,Volkswagen,944999,2017,41417,Petrol
15,Maruti Suzuki,569000,2016,11471,Petrol
16,Maruti Suzuki,449000,2019,3583,Petrol
17,Maruti Suzuki,894999,2018,21365,Petrol
18,Maruti Suzuki,699000,2020,30777,Petrol
19,Hyundai,740000,2016,60125,Petrol
20,Maruti Suzuki,470000,2020,2169,Petrol
21,Volkswagen,765000,2015,60240,Petrol
22,Hyundai,589000,2018,13772,Petrol
23,Hyundai,999000,2019,27464,Petrol
24,Maruti Suzuki,370000,2019,47377,CNG
25,Maruti Suzuki,325000,2013,23086,Petrol
26,Hyundai,1175000,2019,36313,Petrol
27,Honda,351000,2014,39276,Petrol
28,Hyundai,551000,2015,47752,Petrol
29,Honda,819999,2018,27963,Petrol
30,Hyundai,990000,2020,24013,Petrol
31,Hyundai,925000,2016,66000,Diesel
32,Ford,535000,2015,28000,Petrol
33,Honda,860000,2013,67000,Petrol
34,Hyundai,145000,2009,72000,CNG
35,Tata,409000,2018,27069,Petrol
36,Tata,490000,2018,43000,Diesel
37,Toyota,1900000,2019,71000,Diesel
38,Mercedes-Benz,3850000,2017,45600,Diesel
39,Hyundai,1125000,2018,60000,Diesel
40,Mercedes-Benz,2300000,2014,105101,Diesel
41,Toyota,1095000,2016,45000,Petrol
42,Audi,1575000,2013,66000,Diesel
43,Mercedes-Benz,2400000,2010,34105,Petrol
44,Hyundai,525000,2015,68397,Petrol
45,Mahindra,625000,2015,65000,Diesel
46,Maruti Suzuki,605000,2019,27469,Petrol
47,Maruti Suzuki,412000,2016,41058,Petrol
48,Maruti Suzuki,625000,2016,51330,Diesel
49,Maruti Suzuki,511000,2015,45969,Petrol
50,Hyundai,1150000,2017,66602,Diesel
51,Hyundai,885000,2016,57983,Petrol
52,Renault,470000,2019,11183,Petrol
53,MG,1611000,2019,46301,Diesel
54,Tata,475000,2017,34867,Petrol
55,Toyota,865000,2015,43634,Diesel
56,BMW,3800000,2018,9512,Diesel
57,Jeep,2475000,2020,11293,Diesel
58,Mahindra,400000,2014,78000,Diesel
59,Honda,440000,2016,50374,Petrol
60,BMW,2800000,2017,15900,Petrol
61,Honda,645000,2017,64000,Petrol
62,Volkswagen,365000,2013,78000,Diesel
63,Maruti Suzuki,1044999,2021,24000,Petrol
64,Maruti Suzuki,515000,2019,40310,Petrol
65,Hyundai,455000,2015,69700,Petrol
66,BMW,1800000,2012,74073,Diesel
67,Toyota,3499000,2019,73000,Diesel
68,Honda,190000,2006,130000,Petrol
69,Audi,1250000,2012,50000,Diesel
70,Maruti Suzuki,775000,2021,24000,Petrol
71,Hyundai,825000,2021,43000,Diesel
72,Audi,2250000,2016,40500,Diesel
73,Honda,865000,2017,49013,Petrol
74,Ford,299000,2013,64983,Diesel
75,Honda,570000,2017,92270,Petrol
76,Volkswagen,385000,2013,65000,Petrol
77,Honda,350000,2014,110000,Diesel
78,Toyota,2345000,2017,47000,Petrol
79,Mahindra,1650000,2022,10000,Petrol
80,Mercedes-Benz,1100000,2011,51500,Diesel
81,Audi,2900000,2018,35000,Diesel
82,Maruti Suzuki,545000,2017,61518,Petrol
83,BMW,2990000,2018,34000,Diesel
84,Maruti Suzuki,615000,2017,36058,Petrol
85,Hyundai,890000,2016,88000,Diesel
86,Volkswagen,430000,2015,98112,Petrol
87,Mercedes-Benz,1650000,2013,58000,Diesel
88,Toyota,1599000,2015,92355,Petrol
89,Maruti Suzuki,691000,2019,16652,Petrol
90,Nissan,650000,2016,76584,Diesel
91,Maruti Suzuki,415000,2015,42500,CNG
92,Maruti Suzuki,669000,2016,70000,Diesel
93,BMW,2950000,2015,84700,Diesel
94,Mercedes-Benz,3900000,2018,83400,Diesel
95,Porsche,16200000,2022,2766,Petrol
96,Mercedes-Benz,5100000,2017,56000,Petrol
97,Hyundai,525000,2015,68766,Petrol
98,Hyundai,750000,2018,16339,Petrol
99,Honda,445000,2016,63882,Petrol
100,Toyota,493000,2012,28732,Petrol
101,Hyundai,611000,2017,51349,Petrol
102,Hyundai,475000,2014,61866,Petrol
